Pool	Percent_in_Exons	Percent_Near_Exons	Percent_Off_Target_Exons	Percent_on_Target2X	PErcent_Near_Target2X	PercentOff_Target2X	Percent_on_Target7X	Percent_Near_Target7X	PercentOff_Target7X	Percent_on_Target12X	Percent_Near_Target12X	PercentOff_Target12X
capture10_g6	50.1%	9.8%	40.2%		48.7%	9.3%	42.0%		48.4%	9.1%	42.5%		47.7%	8.9%	43.4%	
capture10_g7	51.1%	9.9%	39.0%		50.4%	9.6%	40.0%		50.0%	9.5%	40.5%		49.4%	9.3%	41.3%	
capture10_g8	51.9%	9.0%	39.1%		50.9%	8.6%	40.5%		50.6%	8.4%	40.9%		50.1%	8.2%	41.7%	
capture10_k1	49.8%	10.2%	39.9%		48.7%	9.8%	41.5%		48.3%	9.7%	42.0%		47.7%	9.5%	42.9%	
capture10_k2	40.0%	11.2%	48.8%		39.4%	11.0%	49.6%		39.0%	10.8%	50.3%		38.2%	10.5%	51.4%	
capture10_k3	50.5%	10.0%	39.5%		49.8%	9.8%	40.5%		49.5%	9.6%	40.9%		48.8%	9.4%	41.8%	
capture10_k5	45.1%	10.8%	44.1%		44.3%	10.5%	45.1%		43.9%	10.4%	45.7%		43.2%	10.1%	46.7%	
capture10_k8	37.7%	11.1%	51.1%		37.3%	11.0%	51.8%		36.8%	10.7%	52.5%		35.9%	10.4%	53.7%	
capture10_m1	48.4%	10.6%	41.0%		47.5%	10.3%	42.3%		47.1%	10.1%	42.8%		46.5%	9.9%	43.7%	
capture10_m3	51.5%	9.5%	39.0%		50.5%	9.2%	40.3%		50.3%	9.0%	40.7%		49.7%	8.9%	41.5%	
capture10_m5	46.3%	10.5%	43.2%		45.2%	10.1%	44.6%		44.8%	9.9%	45.2%		44.1%	9.7%	46.2%	
capture10_m7	52.4%	9.2%	38.4%		51.1%	8.7%	40.2%		50.8%	8.6%	40.6%		50.2%	8.4%	41.4%	
capture10_m9	51.0%	9.9%	39.1%		50.1%	9.6%	40.3%		49.8%	9.5%	40.8%		49.1%	9.2%	41.6%	
capture10_n1	52.4%	10.0%	37.5%		51.1%	9.6%	39.3%		50.8%	9.4%	39.8%		50.2%	9.2%	40.6%	
capture10_n2	50.2%	10.2%	39.6%		49.4%	9.9%	40.6%		49.1%	9.8%	41.1%		48.5%	9.6%	41.9%	
capture10_n3	51.7%	10.1%	38.1%		50.8%	9.8%	39.4%		50.5%	9.7%	39.8%		49.9%	9.5%	40.7%	
capture10_n4	48.8%	10.3%	40.8%		48.1%	10.1%	41.9%		47.7%	9.9%	42.4%		47.0%	9.7%	43.3%	
capture10_n5	50.8%	10.0%	39.2%		49.7%	9.7%	40.6%		49.4%	9.5%	41.1%		48.7%	9.3%	41.9%	
capture13_b10	46.4%	10.2%	43.4%		45.6%	9.9%	44.5%		45.3%	9.7%	45.0%		44.6%	9.5%	46.0%	
capture13_b1	51.3%	10.0%	38.7%		50.4%	9.6%	40.1%		50.0%	9.4%	40.5%		49.4%	9.2%	41.4%	
capture13_b2	38.7%	10.9%	50.4%		38.3%	10.7%	51.0%		37.9%	10.5%	51.6%		37.0%	10.2%	52.8%	
capture13_b6	38.0%	10.7%	51.3%		37.7%	10.5%	51.8%		37.3%	10.3%	52.4%		36.4%	10.0%	53.6%	
capture13_b7	45.6%	10.6%	43.8%		44.9%	10.3%	44.8%		44.5%	10.1%	45.4%		43.8%	9.9%	46.3%	
capture13_g1	45.4%	10.5%	44.1%		44.6%	10.1%	45.2%		44.3%	10.0%	45.8%		43.6%	9.7%	46.7%	
capture13_g5	48.7%	9.7%	41.5%		48.1%	9.5%	42.4%		47.8%	9.3%	42.8%		47.2%	9.1%	43.7%	
capture13_g6	49.7%	9.6%	40.6%		48.7%	9.2%	42.1%		48.4%	9.0%	42.6%		47.7%	8.8%	43.5%	
capture13_g7	48.8%	10.0%	41.2%		48.3%	9.8%	41.9%		47.9%	9.7%	42.4%		47.3%	9.4%	43.3%	
