Sample,Percent_in_exons,Percent_near_exons,Percent_off_target_exons,Percent_on_target2X,Percent_near_target2X,Percent_off_target2X,Percent_on_target7X,Percent_near_target7X,Percent_off_target7X,Percent_on_target12X,Percent_near_target12X,Percent_off_target12X
capture13_b1,0.513,0.1,0.387,0.504,0.096,0.401,0.5,0.094,0.405,0.494,0.092,0.414
capture13_b2,0.387,0.109,0.504,0.383,0.107,0.51,0.379,0.105,0.516,0.37,0.102,0.528
capture13_b6,0.38,0.107,0.513,0.377,0.105,0.518,0.373,0.103,0.524,0.364,0.1,0.536
capture13_b7,0.456,0.106,0.438,0.449,0.103,0.448,0.445,0.101,0.454,0.438,0.099,0.463
capture13_g1,0.454,0.105,0.441,0.446,0.101,0.452,0.443,0.1,0.458,0.436,0.097,0.467
capture13_g5,0.487,0.097,0.415,0.481,0.095,0.424,0.478,0.093,0.428,0.472,0.091,0.437
capture13_g6,0.497,0.096,0.406,0.487,0.092,0.421,0.484,0.09,0.426,0.477,0.088,0.435
capture13_g7,0.488,0.1,0.412,0.483,0.098,0.419,0.479,0.097,0.424,0.473,0.094,0.433
capture13_g8,0.5,0.092,0.408,0.493,0.089,0.418,0.49,0.087,0.423,0.484,0.085,0.431
capture13_k1,0.484,0.104,0.412,0.477,0.101,0.422,0.473,0.1,0.428,0.466,0.097,0.437
capture13_k2,0.402,0.111,0.487,0.398,0.109,0.493,0.393,0.107,0.5,0.385,0.104,0.511
capture13_k3,0.481,0.101,0.418,0.476,0.099,0.424,0.473,0.098,0.429,0.467,0.095,0.438
capture13_k5,0.459,0.107,0.434,0.453,0.105,0.442,0.449,0.103,0.448,0.442,0.1,0.458
capture13_k8,0.384,0.11,0.506,0.381,0.108,0.511,0.376,0.106,0.518,0.367,0.103,0.53
capture13_m1,0.462,0.107,0.431,0.456,0.104,0.44,0.453,0.102,0.445,0.446,0.1,0.455
capture13_m3,0.483,0.105,0.412,0.477,0.102,0.421,0.474,0.101,0.426,0.467,0.098,0.434
capture13_m5,0.448,0.106,0.445,0.441,0.103,0.455,0.437,0.102,0.461,0.43,0.099,0.471
capture13_m7,0.489,0.104,0.407,0.479,0.099,0.422,0.475,0.098,0.427,0.468,0.096,0.436
capture13_m9,0.494,0.099,0.408,0.488,0.096,0.416,0.484,0.094,0.422,0.478,0.092,0.43
capture13_n1,0.505,0.101,0.394,0.497,0.097,0.406,0.493,0.096,0.411,0.487,0.093,0.42
capture13_n2,0.492,0.1,0.408,0.487,0.098,0.415,0.484,0.097,0.419,0.478,0.094,0.428
capture13_n3,0.495,0.102,0.403,0.49,0.099,0.411,0.486,0.098,0.416,0.48,0.096,0.424
capture13_n4,0.477,0.101,0.421,0.472,0.099,0.429,0.468,0.097,0.435,0.462,0.095,0.444
capture13_n5,0.488,0.101,0.411,0.482,0.098,0.42,0.478,0.096,0.425,0.471,0.094,0.434
capture16_b10,0.474,0.106,0.42,0.468,0.103,0.429,0.464,0.101,0.435,0.457,0.099,0.444
capture16_b1,0.516,0.1,0.384,0.506,0.094,0.4,0.502,0.093,0.405,0.496,0.091,0.413
capture16_b2,0.384,0.111,0.505,0.381,0.11,0.51,0.376,0.108,0.516,0.368,0.104,0.528
capture16_b6,0.378,0.113,0.51,0.375,0.111,0.514,0.37,0.109,0.521,0.361,0.106,0.533
capture16_b7,0.464,0.109,0.427,0.458,0.106,0.436,0.453,0.105,0.442,0.446,0.102,0.452
capture16_g1,0.466,0.106,0.428,0.461,0.104,0.436,0.457,0.102,0.441,0.45,0.1,0.45
capture16_g5,0.497,0.1,0.403,0.492,0.097,0.411,0.489,0.096,0.415,0.483,0.094,0.424
capture16_g6,0.506,0.099,0.395,0.497,0.095,0.408,0.493,0.093,0.413,0.487,0.091,0.422
capture16_g7,0.489,0.1,0.411,0.477,0.094,0.429,0.474,0.092,0.434,0.467,0.09,0.442
capture16_g8,0.509,0.093,0.399,0.503,0.09,0.407,0.499,0.089,0.412,0.493,0.087,0.42
capture16_k1,0.49,0.107,0.403,0.484,0.104,0.412,0.48,0.103,0.418,0.473,0.1,0.427
capture16_k2,0.406,0.113,0.482,0.402,0.111,0.487,0.398,0.109,0.494,0.389,0.106,0.505
capture16_k3,0.494,0.104,0.401,0.49,0.102,0.407,0.487,0.101,0.412,0.481,0.099,0.421
capture16_k5,0.46,0.109,0.431,0.456,0.107,0.438,0.451,0.105,0.444,0.444,0.102,0.453
capture16_k8,0.386,0.111,0.503,0.382,0.11,0.508,0.378,0.108,0.515,0.369,0.104,0.527
capture16_m1,0.473,0.1,0.427,0.467,0.096,0.437,0.463,0.095,0.442,0.457,0.092,0.451
capture16_m3,0.495,0.107,0.398,0.489,0.105,0.406,0.486,0.103,0.41,0.48,0.101,0.419
capture16_m5,0.455,0.109,0.436,0.449,0.106,0.445,0.445,0.104,0.451,0.438,0.101,0.461
capture16_m7,0.495,0.108,0.397,0.486,0.104,0.41,0.482,0.102,0.416,0.475,0.1,0.425
capture16_m9,0.495,0.105,0.401,0.49,0.102,0.408,0.486,0.101,0.414,0.479,0.098,0.422
capture16_n1,0.507,0.106,0.387,0.5,0.103,0.398,0.496,0.101,0.402,0.49,0.099,0.411
capture16_n2,0.501,0.102,0.396,0.497,0.1,0.402,0.494,0.099,0.407,0.488,0.097,0.415
capture16_n3,0.507,0.104,0.389,0.502,0.102,0.396,0.498,0.1,0.401,0.492,0.098,0.41
capture16_n4,0.491,0.105,0.404,0.486,0.103,0.411,0.483,0.101,0.416,0.476,0.099,0.425
capture16_n5,0.501,0.104,0.396,0.495,0.101,0.404,0.491,0.1,0.409,0.484,0.098,0.418
